Zip Code,Total population,Unemployment rate - Population 16 years and over,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
77345,29090,3.6,93000,156600,221700
77346,63233,4.9,447400,717700,857650
77351,33199,8.1,461450,613600,647600
77354,35904,5.3,359650,481200,648200
77355,27271,6.5,336750,533850,479350
77356,25888,6.6,222600,449250,527250
77357,24334,9,223850,509700,527150
77358,5597,4.2,59050,76650,136100
77360,5084,8,36150,52400,52750
77362,5546,2.6,165250,301200,367650
77363,2705,4.7,68000,69000,76550
77364,1822,0.5,20150,30150,39000
77365,31406,7.2,249500,435400,357200
77371,8025,8.1,52000,90650,80100
77372,12351,8.2,78000,97200,115950
77373,58255,5.4,255600,390250,355000
77375,50525,6.4,568700,926150,814050
77377,36758,5.1,417500,555100,604550
77378,16150,4.8,111000,178700,353450
77379,78226,5,675250,1173050,993950
77380,26691,3.6,350000,429450,444650
77381,36919,3.2,132800,162500,146850
77382,40546,4.2,91000,145700,173000
77384,16472,2.4,317000,513250,567350
77385,23578,4.9,228750,326100,392000
77386,53042,2.9,306450,385700,349350
77388,45841,5.1,361700,690050,580350
77389,31883,3.7,89000,109800,130100
77396,54352,4.8,291650,423100,448200
77401,19062,2.5,95550,148350,126800
77406,41008,3.5,144000,372500,407000
77407,48157,6.3,179000,312250,321550
77414,23369,6.6,888100,1121450,1218150
77417,2760,8.5,48000,100000,81750
