Zip Code,Median age,Percent - 10 to 14 years,Percent - 15 to 17 years,Percent - 15 to 19 years,Percent - 15 to 44 years,Percent - 16 years and over,Percent - 18 to 24 years,Percent - 18 years and over,Percent - 20 to 24 years,Percent - 21 years and over,Percent - 25 to 29 years,Percent - 30 to 34 years,Percent - 35 to 39 years,Percent - 40 to 44 years,Percent - 45 to 49 years,Percent - 5 to 14 years,Percent - 5 to 9 years,Percent - 50 to 54 years,Percent - 55 to 59 years,Percent - 60 to 64 years,Percent - 60 years and over,Percent - 62 years and over,Percent - 65 to 69 years,Percent - 65 years and over,Percent - 70 to 74 years,Percent - 75 to 79 years,Percent - 75 years and over,Percent - 80 to 84 years,Percent - 85 years and over,Percent - Under 18 years,Percent - Under 5 years,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
75124,48.7,3.9,2.7,4.8,33.1,86.5,10.4,85.1,8.3,82,6.4,4.5,5.7,3.4,6.6,7.6,3.7,9.2,11.8,5.9,27.1,25.3,6.8,21.2,3.3,3.4,11.1,4.3,3.4,14.9,4.6,4229,65000,110100,75500
75125,33.6,11.2,5.8,8.9,36.6,74.1,7.4,68.8,4.3,64.9,8.4,4.4,5.9,4.6,7.9,16.9,5.7,6.1,6.8,5.1,17.3,15.4,3.6,12.2,3.1,2.8,5.5,2.1,0.6,31.2,8.4,6236,126750,114750,134000
75126,32.2,9.5,5.8,8.1,43.5,70.1,6.9,66.5,4.6,63,6.3,8.8,8.3,7.3,6.3,19.2,9.7,6.1,5.7,4,10.8,9,2.4,6.8,2.1,1,2.4,0.7,0.6,33.5,8.5,42409,364400,411050,444850
75132,29.9,6.7,2.6,7.3,41.5,67.3,4.7,65.6,0,60.8,10.9,11.7,4.5,7,13.4,18.1,11.4,4.2,0.8,3.7,8.4,7.2,3.2,4.7,0.6,0,0.9,0,0.9,34.4,13.7,1864,15000,36750,32000
75134,31.6,6.9,6.3,9,42.9,70.6,9.8,67.4,7.1,62.7,5.4,7.6,6.6,7.2,6.6,17.3,10.3,7.6,5,3.5,11.6,10,3.1,8.1,2.4,1,2.6,0.9,0.7,32.6,9,22106,51850,100500,94800
75135,34.6,11.4,7.1,8.7,38.2,70.8,5.3,66.2,3.7,64.2,4.5,6.9,5.8,8.5,6.9,20,8.6,6.3,5.7,5.2,16.2,14.3,3.4,11,4.1,2.2,3.6,0.8,0.6,33.8,6.6,7113,59000,84750,96300
75137,39.8,6.2,5.7,8.7,40.6,79.7,11.4,76.1,8.5,70.9,4.4,5.4,5.1,8.5,6.6,13.4,7.2,6.7,7.5,5.7,20.4,17.7,5.2,14.7,3.7,2.8,5.8,1.7,1.3,23.9,4.8,19640,177500,325000,360950
75140,41,5.8,2.3,4.6,32.2,77.1,6.2,75.5,3.9,72.5,5.5,8.5,4.6,5.1,4.8,14.5,8.6,5.5,8.6,7.6,26.8,23,6.5,19.2,3.4,3.5,9.3,2.2,3.6,24.5,7.7,6752,66000,97450,87200
75141,32.1,6.7,3.7,7,58.8,81.5,12,78.7,8.7,74.5,10.9,12.4,10.1,9.8,7.2,12,5.3,3.3,5.2,2.4,8,7.2,2.4,5.5,0.9,1,2.2,0.4,0.8,21.3,5.6,5815,111300,166050,219200
75142,37.1,7.7,4.7,6.8,41.4,77.9,7.6,75.1,5.6,72,7.9,6.4,7.8,6.9,6.7,14.3,6.5,6.3,7,5.3,18.5,16.5,4.6,13.2,3.2,2.6,5.3,1.3,1.5,24.9,5.9,18702,202000,327950,384800
