Zip Code,MONTHLY HOUSING COSTS - Median,Owner-occupied housing percentage,Renter-occupied housing percentage,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76265,668,0.823782235,0.176217765,1806,8900,5150,4000
76266,1129,0.742713004,0.257286996,15439,96000,156000,274950
76270,543,0.7228739,0.2771261,1797,6000,9000,7000
76271,1000,0.760907504,0.239092496,1626,27000,25750,22000
76272,763,0.769830949,0.230169051,4256,52000,61000,77250
76273,722,0.700316365,0.299683635,9245,31000,53000,63000
76301,598,0.516431925,0.483568075,15632,30400,64800,49000
76302,832,0.582158718,0.417841282,13725,150100,241750,240700
76305,672,0.845474614,0.154525386,4264,9000,16000,30000
76306,653,0.5878252,0.4121748,15099,94450,142850,259000
76308,846,0.549847468,0.450152532,19361,70000,146150,170950
76309,759,0.612050534,0.387949466,12939,65000,62000,72000
76310,928,0.717905876,0.282094124,17720,72950,66000,80000
76351,534,0.681759379,0.318240621,1853,12000,14000,37000
76354,792,0.661477792,0.338522208,12085,67000,73450,99250
76360,526,0.760219646,0.239780354,3561,34400,19550,24750
76364,600,0.758064516,0.241935484,143,8000,11000,14000
76365,587,0.805042017,0.194957983,4395,22100,20350,33100
76366,696,0.769041769,0.230958231,2102,7000,95000,113000
76367,799,0.864204092,0.135795908,14963,12700,15000,46000
76371,484,0.769094139,0.230905861,1557,10000,11000,8850
76372,471,0.67032967,0.32967033,1409,36500,31000,40000
76374,559,0.68164794,0.31835206,3917,39000,64000,69000
76380,463,0.776371308,0.223628692,3633,37000,55000,73000
76384,631,0.648484848,0.351515152,12385,82850,174400,274400
76401,789,0.581167869,0.418832131,29478,228600,481550,473050
76424,590,0.781930452,0.218069548,8794,78200,116350,95700
76426,876,0.667856293,0.332143707,12453,144000,198250,217500
76427,652,0.664819945,0.335180055,1021,18950,36000,38000
76430,586,0.832258065,0.167741935,2428,15000,5000,43150
76431,724,0.858757062,0.141242938,2931,13000,18100,26000
76437,512,0.759675108,0.240324892,5401,117850,141600,181400
76442,530,0.790299052,0.209700948,7496,52000,95000,115000
76443,479,0.746710526,0.253289474,2316,44000,24450,28250
76444,546,0.79814077,0.20185923,3472,40000,42000,23000
76446,676,0.74797048,0.25202952,8105,63900,128700,150000
76448,398,0.772881356,0.227118644,5224,101000,176000,170950
76449,690,0.780991736,0.219008264,2427,49000,53000,45300
