Zip Code,Asian percent,Hispanic or Latino percent,White percent,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76354,1.1,9.2,85.5,12085,67000,73450,99250
76360,0,7.4,89.6,3561,34400,19550,24750
76364,0.7,7,93,143,8000,11000,14000
76365,0.1,3.6,95.3,4395,22100,20350,33100
76366,1.5,8.6,94,2102,7000,95000,113000
76367,0.1,18.4,81.8,14963,12700,15000,46000
76371,0,40.1,83.3,1557,10000,11000,8850
76372,0,9.9,99.7,1409,36500,31000,40000
76374,0.1,18.9,94.3,3917,39000,64000,69000
76380,0,10,91.5,3633,37000,55000,73000
76384,1,29.7,80.5,12385,82850,174400,274400
76401,1,17.8,91.7,29478,228600,481550,473050
76424,0.4,24.3,90.4,8794,78200,116350,95700
76426,0.2,29,92.6,12453,144000,198250,217500
76427,0.5,9.1,97.2,1021,18950,36000,38000
76430,0.2,13.8,96.6,2428,15000,5000,43150
76431,0.1,15.1,90.8,2931,13000,18100,26000
76437,0.1,9.3,87.7,5401,117850,141600,181400
76442,0.3,29.7,95.7,7496,52000,95000,115000
76443,0,7.6,99.1,2316,44000,24450,28250
76444,0.3,18.2,93.9,3472,40000,42000,23000
76446,0.6,35.2,91,8105,63900,128700,150000
76448,0.6,16.8,91.6,5224,101000,176000,170950
76449,0.4,9.6,93.9,2427,49000,53000,45300
76450,0.6,17.4,94.7,12885,149550,214000,215800
76453,0,3.7,96.3,1357,20000,27350,13000
76454,0,28.1,96.9,1560,14000,8000,5000
76457,0.2,19.8,95.2,4102,46000,83000,50350
76458,0.1,20.6,89.6,5913,66000,100500,88600
76470,0.2,21.4,93.1,3820,20100,28000,39200
76471,0.6,7.2,95.6,2275,10000,5000,10000
76472,0,6.5,98.4,1507,41250,72350,73000
76475,0,29.5,96.9,909,3000,3000,3000
76476,0.3,7.4,98.7,2718,31000,40000,48000
76483,0.5,19.2,98.3,972,23000,25500,16000
76486,0.3,6.3,93.2,1040,10000,18550,22650
76487,0,12.1,96.6,2704,27600,23600,16000
76501,0.2,30.7,76.1,17571,177200,256150,225750
76502,2.5,20,80.1,38571,432000,784750,776650
76504,1.6,31,71.2,23368,298800,436050,528100
76511,0,36.5,75.1,2869,18000,33000,32800
76513,1.6,24.9,85.1,38124,513200,792650,837700
76520,0.1,23.1,80.8,8124,76000,156900,140700
76522,2.2,16.4,69.6,36581,355100,594650,679350
76527,0,27.9,95.9,3886,48000,88000,106550
76528,0.4,14.7,88.9,16708,221450,512750,383350
76530,0,20.2,94,2190,62000,116150,185000
76531,0.2,8.2,95.6,4632,69000,76450,63400
76534,0,20.9,91.6,2927,17000,33600,26000
76537,0.5,32.4,90.6,4921,310000,311100,157850
76539,1.2,11.2,84.8,8530,14000,42000,40000
76541,2.7,30,55.1,18447,183250,340600,320800
76542,4.2,25.2,46.7,50324,510050,866450,936100
76543,3,22.7,42.7,29256,200150,303350,292950
76548,4.5,20,67.7,29595,281050,447200,538900
76549,4.9,24,42.5,48970,353950,568600,556700
76550,1.6,21.6,91.1,12517,172350,184700,281250
76554,1.1,30.8,92.2,2285,28850,49000,50500
76556,0,3,93.8,1281,5000,11000,8650
76557,1.3,19.2,90,4783,11000,12000,22000
76559,1.6,23.4,76.2,5534,30000,66000,119950
76567,0.7,33.5,81.6,9098,68000,82150,89800
76569,0,21.7,90.6,2250,27000,32000,54200
76570,0,24.8,86.2,2909,16700,14200,16250
76571,0.9,11.2,95.8,7200,62000,62000,56000
76574,0.6,40.3,79.3,18939,292700,490950,633950
76577,0,15.4,94.4,3311,41000,47000,64000
76578,0,29.4,87.8,1422,22000,23000,32000
76579,0,14.7,97.3,4672,15000,40000,63000
76621,0,5.3,97.2,907,16000,13000,13000
76627,0,7.1,95.1,1612,22000,25300,15000
76629,0.6,5.2,80,1686,51000,51000,21350
76633,0,8.4,92.4,5346,26000,37750,64000
76634,0.4,11.5,92.8,7068,149500,281850,275000
76635,0,45.2,72.2,1219,17950,38850,60250
76636,0.5,5.6,95.3,1330,8000,4000,12000
76637,0,21.1,93.8,629,5000,5600,11000
76638,0,8.9,92.4,3081,7000,4000,16000
76639,0,14.1,91.4,1341,13000,13000,14850
76640,0.9,7.4,94.2,2816,6000,13000,17000
76642,1.3,13.5,83.3,7025,65300,94450,81150
76643,2.4,17.9,88.9,14253,119650,265900,279700
76645,0.6,34.4,79.8,10477,212500,323450,328700
76648,0,7,89.3,2762,43000,57500,37000
76649,0,10.8,98.3,701,1000,15000,13000
76651,0,22.2,82.7,3232,87000,121450,124000
76653,0.3,16.4,90,902,53000,37000,34000
