Zip Code,American Indian and Alaska Native percent,Asian percent,Black or African American percent,Female percent,Hispanic or Latino percent,Male percent,Median income (full time),Median income(all),Native Hawaiian and Other Pacific Islander percent,Total population,White percent
86025,19.7,1.8,2,49.6,23.8,50.4,36813,20940,0,5552,58.1
86030,96.7,0.5,0.4,49,1.4,51,38000,27500,0,1717,2.4
86031,97.9,0,0.4,52.2,0.9,47.8,33661,22204,0.5,1830,1
86032,16.1,0.1,0,54.9,10.2,45.1,50682,31250,0,1396,68.4
86033,92.1,0.5,0.2,49.6,0.8,50.4,35610,27120,1,7130,4.8
86034,96.6,0.3,0,49.1,4.7,50.9,34615,25259,0,2096,2.9
86035,94.9,1.4,0,53.2,2.4,46.8,33015,24435,0,2061,0.6
86036,42.6,0,0,46.6,1.8,53.4,33036,21518,0,399,54.6
86039,98.9,0,0.5,50,0.8,50,38750,26833,0.3,1218,0.2
86040,61.1,0.6,0.4,48.7,6.7,51.3,41802,27663,0.3,10752,32.3
86042,90.1,3.5,0.6,54.9,0.5,45.1,34205,18810,0,2161,5.7
86043,99.7,0.3,0,54.2,0.2,45.8,28194,22518,0,2762,0
86044,99,0.1,0.1,53.1,0.2,46.9,30905,19282,0,3707,0.5
86045,94.1,1.1,0,54.1,1.4,45.9,38279,28766,0,11885,3
86046,4.4,0.5,1.1,46.9,21.8,53.1,39965,30500,0,5535,83.5
86047,51.9,0.3,2.9,45.2,25.3,54.8,38125,22387,0.1,15318,27.5
86053,98.9,0,0,51,2.2,49,30511,22668,0,2441,0.3
86054,96.3,0,0,50,0.3,50,38333,24423,0,1647,1.2
86301,1.3,1.9,0.3,52.2,8.5,47.8,37323,22541,0.1,22147,92.2
86303,0.2,0.9,1,51.3,5.5,48.7,43998,26050,0.1,17430,95.2
86305,1.9,1.1,0.3,50.8,9.2,49.2,50515,28678,0,17956,93.8
86314,0.5,1.1,0.7,52.3,23.9,47.7,37141,25864,0,37997,91
86315,0,2.3,0.5,53.3,8.1,46.7,45699,33944,0,7631,96.2
86320,1.3,0,1,47.4,30.3,52.6,31250,26971,0,2064,88.5
86321,0.3,0,0,43.9,26.6,56.1,64435,50273,0,2091,91.8
86322,11.1,0.1,0.2,46.1,16.9,53.9,37177,21728,0,11723,83.6
86323,0.9,1.4,0.1,48,11.4,52,35511,25282,0,15435,91.6
86324,8.5,1.3,3,53.9,11.3,46.1,31116,30327,0,4316,82.9
86325,0.1,0,0,53.3,7.3,46.7,40784,18584,0,5280,96.9
86326,1.3,0.3,0.9,52,21.1,48,32661,24095,0.1,24848,89.9
86327,0.2,0.2,0.3,53.5,5.8,46.5,40479,27827,0,9571,96.1
86329,0,2,0,52.5,23.5,47.5,35290,28500,0,1125,97.2
86331,12.7,0,0.4,56,4.6,44,41346,24135,0,521,84.1
86332,0.5,0,0.2,47.5,13,52.5,32708,16458,0,1683,93.9
86333,2.1,0.9,0.6,50.2,8.2,49.8,40000,15620,0,6759,92.2
86334,1.5,1.4,0,49.9,31,50.1,41145,26588,0,4847,88.8
86335,4.1,0,0,48.6,14.4,51.4,34000,17451,0,5143,91.8
86336,0,2,0,52.3,11.7,47.7,40685,27338,0,11694,95.3
86337,5,0,0,49.1,17.2,50.9,40250,35750,0,1215,84.5
86351,1.6,0.8,1.2,52.5,10.2,47.5,46037,30072,0,6734,93.8
86401,3.6,1.8,1.4,46.8,12.3,53.2,42353,27378,0.3,24893,88.2
86403,0.9,0.5,0.5,52.2,18.6,47.8,35030,24985,0,17185,92.7
86404,0.7,1.2,0.5,50,15.1,50,41779,30174,0,17042,95.9
86406,1.1,1.4,0.3,49.3,10.8,50.7,37048,26298,0,23095,94.4
86409,1.6,1,0.8,50.9,11,49.1,37470,23763,0,27752,91.9
86411,6.9,0,0,59.6,5.3,40.4,35455,21563,0,188,93.1
86413,1.8,1.3,2.3,39.1,15.4,60.9,31506,20651,0.4,13010,89.2
86426,0.9,1.5,0.7,50.7,22.7,49.3,35592,27417,0.5,14084,92.1
86429,0.2,1.2,2.9,52.4,14.8,47.6,41003,28393,0.8,7708,91.5
86432,0,0,0,51.2,25,48.8,24612,23513,0,3700,85.7
86434,84.1,0.1,0.1,54.6,3.1,45.4,33352,25079,0,1572,13.7
86438,0.7,0,7.5,50.4,11.3,49.6,69464,34595,0,1002,80.9
86440,8.6,0.4,0.2,48.7,18.5,51.3,37379,23821,0,7208,84.4
86441,0,0,0,42.6,16,57.4,35332,11339,0,2650,100
