Zip Code,Percent bachelor's degree or higher,Percent high school graduate or higher,Total population,Fy 2017,Fy 2018,FY 2019 Through 7/31/2019
76577,18.9,84,3311,41000,47000,64000
76578,14.4,87.1,1422,22000,23000,32000
76579,14.6,89.6,4672,15000,40000,63000
76621,29.5,92.8,907,16000,13000,13000
76627,12.2,83.8,1612,22000,25300,15000
76629,10.2,83.2,1686,51000,51000,21350
76633,32.6,94.6,5346,26000,37750,64000
76634,20.8,85.1,7068,149500,281850,275000
76635,4.4,63,1219,17950,38850,60250
76636,15.5,85.3,1330,8000,4000,12000
76637,22.4,75.8,629,5000,5600,11000
76638,32.7,95,3081,7000,4000,16000
76639,19.3,76,1341,13000,13000,14850
76640,11.7,80.7,2816,6000,13000,17000
76642,18.2,85.2,7025,65300,94450,81150
76643,32.6,92,14253,119650,265900,279700
76645,16.3,77.3,10477,212500,323450,328700
76648,16.1,84.1,2762,43000,57500,37000
76649,20.8,86.8,701,1000,15000,13000
76651,11,84.4,3232,87000,121450,124000
76653,6.8,83.2,902,53000,37000,34000
76655,27.7,95.4,8530,44000,82000,54000
76656,14.3,81.7,2440,24000,38350,26550
76657,30.4,90.9,9663,155000,217200,173400
76661,6.8,69.7,8108,108800,149850,150750
76664,20.6,87.5,3494,18000,25650,25250
76665,16.8,81.5,2399,36000,54750,79900
76667,13.4,77.6,11261,75500,157800,161150
76670,13.2,79.4,1524,2950,3000,1450
76671,12.2,79.6,1792,36000,71650,14100
76673,10,76.2,1620,249000,257000,135000
76678,14.8,74.2,362,29000,34000,38000
76681,7.7,78.1,676,3000,4000,6850
76682,18,87.8,2702,32000,43000,63000
76687,9.2,86.5,1934,1000,1000,3000
76689,27.1,89,3715,2000,15000,20000
76690,12.2,76.6,984,28000,57000,71000
76691,18.6,89.1,6524,60000,140700,141000
76692,17.7,83.2,10577,85250,130200,136300
76693,12.5,83.1,1604,4000,9000,10000
76701,26.7,85.7,1906,28000,97150,83350
76704,7.8,82.6,7825,34000,37550,29350
76705,10.6,74.9,30546,487000,900950,1166150
76706,18.8,80.1,36680,316850,715900,687750
76707,12.2,67,16256,44000,72550,66400
76708,19.4,80.3,27160,138750,263700,414200
76710,27.6,89.9,24415,404850,600800,638000
76711,11.9,64.8,9671,140050,185950,186600
76712,43.3,93.7,25350,323550,409450,463800
76801,17.5,84.4,24918,489650,694200,796550
76802,19,87.9,5010,120000,185050,189000
76821,17.8,81.1,4595,87000,139250,76000
76823,14.6,87.2,3348,55000,53300,41000
76825,13.7,76.9,6891,69300,170800,183000
76834,14.7,79.5,5349,132100,210750,238000
76837,9.7,50.9,2901,24000,35000,31000
76844,22.3,82.2,3719,15000,40000,72000
76849,17.4,83,3884,127800,274250,312300
76853,25.8,92,1575,17000,10000,11000
76856,19.2,88,3684,26000,23000,20000
76859,16.5,77.5,1967,37000,44000,36000
76861,20.7,83,1992,6000,17100,9450
76875,18.4,94.2,551,20900,8000,12000
76877,15,68.3,4187,55000,80000,80700
76878,12.7,82.9,1920,22000,33000,37150
76901,21.3,85,29879,306300,451350,503800
76903,11.8,71.6,32103,418800,656900,766550
76904,38.8,95.5,34828,266000,443500,687000
76905,20.6,83.1,13129,24000,49650,87800
76932,9.9,70.1,3744,177000,309150,371000
76933,18.8,79.7,1344,15600,31350,31000
76935,26.3,93.5,1736,6000,11000,16000
76936,20.3,74.3,3122,23000,36000,63000
76941,16,94.9,1430,63250,121450,95000
76943,8.8,74.8,3693,42000,69700,127000
76945,24.1,87.9,1647,29000,22000,46000
76950,19.6,77,3915,67000,105200,180000
76951,21.4,85.9,1139,36000,55050,40000
77002,29.6,81.5,12370,280400,338750,259900
77003,38.4,77.5,9646,344000,404100,236850
77004,46.8,88.2,37642,42000,78600,76850
77005,83.1,98.3,28233,87000,114000,118000
77006,69.4,97.1,21945,97000,92000,106100
77007,74.8,95.5,35822,265000,360500,451400
77008,61.9,93,34491,242000,374000,380300
77009,29.6,70.2,37751,156700,249200,239650
77010,89,98.7,915,17000,13550,10250
77011,6.5,50.2,18598,60050,107150,95250
77012,5.3,46.7,20085,110000,216850,180050
77013,7.1,58.2,20790,68000,210550,232500
77014,17.3,76.5,35729,62000,82000,102750
77015,11.9,66.4,57258,427900,771050,810250
77016,9.3,71.9,29597,62000,107650,95250
77017,8.3,60.1,32556,123000,221750,219150
77018,47.2,85,28073,231050,490050,335600
77019,74.8,96.4,21572,125000,152750,191450
77020,8.7,57.5,25898,99000,173550,216600
77021,25.7,83.9,26654,105150,165100,126050
77022,6.6,55.7,27364,177000,301850,258400
77023,15.2,65,28528,177000,260600,157050
77024,75.8,96.9,38110,140000,211150,277450
